# nr name
0  read
1  write
2  openat
3  close
4  fstat
5  mmap
6  munmap
7  mprotect
8  brk
9  setuid
10 setgid
11 seteuid
12 setegid
13 getuid
14 getgid
15 geteuid
16 getegid
17 setgroups
18 getgroups
19 chdir
20 getcwd
21 access
22 readlink
23 stat
24 lstat
25 socket
26 bind
27 listen
28 accept
29 accept4
30 connect
31 sendto
32 recvfrom
33 shutdown
34 setsockopt
35 getsockopt
36 epoll_create1
37 epoll_ctl
38 epoll_wait
39 poll
40 ppoll
41 futex
42 clone
43 wait4
44 exit
45 exit_group
46 sched_yield
47 nanosleep
48 execve
49 prctl
50 getrandom
51 clock_gettime
52 getpid
53 getppid
54 gettid
55 set_tid_address
56 capget
57 capset
58 ioctl
59 readv
60 writev
